,username,text
0,mult co fire ems log,med   medical at     block of ne   th ave  portland  or  portland fire  rp                    pdx   
1,mult co fire ems log,med   medical at se   nd ave   se johnson creek blvd  portland  or  portland fire  rp                    pdx   
2,michellebot,valley of fire   valley of fire state park   
3,mult co fire ems log,med   medical at      block of ne rodney ave  portland  or  portland fire  rp                    pdx   
4,houdini,special shout out to  m llyk y for comin through with the fire video     downtown long beach   
5,mult co fire ems log,smokea   smoke investigation outside a structure at n vancouver ave   columbia slough at  multnomah county  or  portland fire  rp         
6,chico vegan,thanks to  iloveomfoods     saturday nov    at om foods       free meals to all the survivors from the camp fire     we will serve a vegan meal to all those affected by the camp fire        
7,mult co fire ems log,med   medical at      block of ne tillamook st  portland  or  portland fire  rp                    pdx   
8,mult co fire ems log,med   medical at      block of sw canyon rd  portland  or  portland fire  rp                    pdx   
9,mult co fire ems log,med   medical at se  nd ave   se morrison st   morrison brg ramp  portland  or  portland fire  rp                    pdx   
10,mult co fire ems log,smokea   smoke investigation outside a structure at se mcloughlin blvd   ross island brg  portland  or  portland fire  rp                  
11,imafoolishmortal,buy two get one free  decorate your tree with these ghoulish delights by topher adam of     paradise  nevada   
12,justine reiss prmama,the bay area is so thankful for rain and clean air    the fires have been brutal on northern and southern california   please keep an eye out for a fundraiser coming soon with all sorts    
13,mult co fire ems log,almcom   monitored commercial fire alarm at      block of ne broadway   portland  or  portland fire  rp                    pdx   
14,mult co fire ems log,med   medical at sw  rd ave   sw yamhill st  portland  or  portland fire  rp                    pdx   
15,mult co fire ems log,ta p   traffic accident   pin in at     block of ne   th ave  portland  or  portland fire  rp                    pdx   
16,ttwn sacramento,camp fire closure in  oroville on hwy    both nb sb between pentz rd and ca     traffic  
17,mult co fire ems log,med   medical at      block of n commercial ave  portland  or  portland fire  rp                    pdx   
18,mult co fire ems log,med   medical at      block of se hawthorne blvd  portland  or  portland fire  rp                    pdx   
19,jon castagnino,we re underway  vegasgoldenknights paying tribute to  cancer victims and survivors before the puck drop  always get a lump in my throat and take a breath  i m one of the lucky ones     
20,mult co fire ems log,med   medical at     block of ne   th ave  portland  or  portland fire  rp                    pdx   
21,mult co fire ems log,med   medical at se   nd ave   se johnson creek blvd  portland  or  portland fire  rp                    pdx   
22,michellebot,valley of fire   valley of fire state park   
23,mult co fire ems log,med   medical at      block of ne rodney ave  portland  or  portland fire  rp                    pdx   
24,houdini,special shout out to  m llyk y for comin through with the fire video     downtown long beach   
25,mult co fire ems log,smokea   smoke investigation outside a structure at n vancouver ave   columbia slough at  multnomah county  or  portland fire  rp         
26,chico vegan,thanks to  iloveomfoods     saturday nov    at om foods       free meals to all the survivors from the camp fire     we will serve a vegan meal to all those affected by the camp fire        
27,mult co fire ems log,med   medical at      block of ne tillamook st  portland  or  portland fire  rp                    pdx   
28,mult co fire ems log,med   medical at      block of sw canyon rd  portland  or  portland fire  rp                    pdx   
29,mult co fire ems log,med   medical at se  nd ave   se morrison st   morrison brg ramp  portland  or  portland fire  rp                    pdx   
30,mult co fire ems log,smokea   smoke investigation outside a structure at se mcloughlin blvd   ross island brg  portland  or  portland fire  rp                  
31,imafoolishmortal,buy two get one free  decorate your tree with these ghoulish delights by topher adam of     paradise  nevada   
32,justine reiss prmama,the bay area is so thankful for rain and clean air    the fires have been brutal on northern and southern california   please keep an eye out for a fundraiser coming soon with all sorts    
33,mult co fire ems log,almcom   monitored commercial fire alarm at      block of ne broadway   portland  or  portland fire  rp                    pdx   
34,mult co fire ems log,med   medical at sw  rd ave   sw yamhill st  portland  or  portland fire  rp                    pdx   
35,mult co fire ems log,ta p   traffic accident   pin in at     block of ne   th ave  portland  or  portland fire  rp                    pdx   
36,ttwn sacramento,camp fire closure in  oroville on hwy    both nb sb between pentz rd and ca     traffic  
37,mult co fire ems log,med   medical at      block of n commercial ave  portland  or  portland fire  rp                    pdx   
38,mult co fire ems log,med   medical at      block of se hawthorne blvd  portland  or  portland fire  rp                    pdx   
39,jon castagnino,we re underway  vegasgoldenknights paying tribute to  cancer victims and survivors before the puck drop  always get a lump in my throat and take a breath  i m one of the lucky ones     
40,mult co fire ems log,med   medical at      block of sw   th dr  portland  or  portland fire  rp                    pdx   
41,rakestraw books,buy a brown paper wrapped  mystery  book for     all proceeds benefit california fire foundation s save program   shopdanvilleca  bookstagram  helpingothers   rakestraw books   
42,mult co fire ems log,med   medical at       block of se powell blvd  portland  or  portland fire  rp                    pdx   
43,mult co fire ems log,ta    traffic accident    st response  fire   ems  at nb i    fwy so   exit   a   ne sandy blvd  portland  or  portland fire  rp            
44,lo,i want all the smoke      linkinbio            zeroaliasmusic  thecoldestwinterpartii  comingsoon  whodat  jcole  dreamville  tde  bayarea  redwoodcity  northhollywood  la    
45,mult co fire ems log,med   medical at      block of se    th ave  portland  or  portland fire  rp                    pdx   
46,farrah marie  ,my paradise    broadway pier  san diego   
47,mult co fire ems log,med   medical at      block of ne flanders st  portland  or  portland fire  rp                    pdx   
48,andreea tina,sky above me   earth below me   fire within me    pacific palisades   
49,sh laco,today i am grateful that we all have some relief from the fires and smoke  here s   shots  one from a clear day and one from a toxic air day  now off to enjoy some of this rain        
