,tweet,lat,long
0,"MED - MEDICAL at SW OAK ST / SW NAITO PKWY, PORTLAND, OR [Portland Fire #RP18000094237] 13:29 #pdx911",39.811720103926405,-121.65062868286293
1,"MED - MEDICAL at 1400 BLOCK OF SE 100TH AVE, PORTLAND, OR [Portland Fire #RP18000094230] 13:06 #pdx911",39.73507284261872,-121.74342672739124
2,"MED - MEDICAL at 6300 BLOCK OF SW BEAVERTON HILLSDALE HWY, PORTLAND, OR [Portland Fire #RP18000096361] 01:39 #pdx911",39.67617795214576,-121.54232193411544
3,Hazy days in San Francisco #CampFire @ Ocean Beach https://www.instagram.com/p/BqGbzjJHGC4/?utm_source=ig_twitter_share&igshid=15zj8cq9xbit3 …,39.6472021929249,-121.65810850568691
4,"Another shooting, Another thoughts and prayers for the victims, families, and friends... When does it stop? When do start making changes?  Praying for change... Praying for everyone… https://www.instagram.com/p/Bp7aAy0gtrV/?utm_source=ig_twitter_share&igshid=1be4rqesbnn51 …",39.665352894785926,-121.69434820262622
5,"“Paradise Lost”...we will never be able to replace what we had....and
we will never forget what the fire took away...hoping that some day we could return to see it again
...I will be… https://www.instagram.com/p/BqaCxvsly1T/?utm_source=ig_twitter_share&igshid=4fcum4cao51z …",39.758092550986156,-121.6197689203632
6,"Bishop is on fire!  follow him wilson_university  #hgrlegacy #hgrword #hgrtruth #hgrpreachers @ Elk Grove, California https://www.instagram.com/p/BqVOMSZFhw5/?utm_source=ig_twitter_share&igshid=roa1k3zl5qz6 …",39.82014643048324,-121.66610174115569
7,"MED - MEDICAL at 1900 BLOCK OF NW FLANDERS ST, PORTLAND, OR [Portland Fire #RP18000095815] 07:50 #pdx911",39.72665342053747,-121.80721194432172
8,"MED - MEDICAL at 1400 BLOCK OF NE 2ND AVE, PORTLAND, OR [Portland Fire #RP18000095961] 17:16 #pdx911",39.757665856881815,-121.60299600243393
9,"MED - MEDICAL at 5800 BLOCK OF N MISSOURI AVE, PORTLAND, OR [Portland Fire #RP18000095730] 20:44 #pdx911",39.75658268193844,-121.62002737622734
10,"Before and after
And effects in #rosevilleca @ Paradise, California https://www.instagram.com/p/Bp-l0gxHxHy/?utm_source=ig_twitter_share&igshid=18cetrhgve6tu …",39.74117577096241,-121.70336587387972
11,"MED - MEDICAL at 1300 BLOCK OF SE 107TH AVE, PORTLAND, OR [Portland Fire #RP18000093037] 09:27 #pdx911",39.65693646747491,-121.55550810930609
12,"Day 15 and 16. Hung out in Redwood City for 2 days. Smoke and haze covers most of California due to the fires. I've never seen a forecast of smoke before. @ Redwood City, California https://www.instagram.com/p/BqRRvTRgoWi/?utm_source=ig_twitter_share&igshid=1dil4v50y9w5q …",39.72397535348725,-121.79844540603165
13,"MED - MEDICAL at 12600 BLOCK OF SE BOISE ST, PORTLAND, OR [Portland Fire #RP18000096961] 06:49 #pdx911",39.80098193661605,-121.63421472850901
14,"MED - MEDICAL at 300 BLOCK OF NE RUSSET ST, PORTLAND, OR [Portland Fire #RP18000095089] 13:35 #pdx911",39.715410241169494,-121.42646220540371
15,"MED - MEDICAL at 8900 BLOCK OF N LOMBARD ST, PORTLAND, OR [Portland Fire #RP18000096525] 17:16 #pdx911",39.774334257801975,-121.59413846184854
16,"MED - MEDICAL at 6600 BLOCK OF NE ALAMEDA ST, PORTLAND, OR [Portland Fire #RP18000096588] 20:52 #pdx911",39.768331276910494,-121.78939386044478
17,"FURN - FURNACE PROBLEM at 11600 BLOCK OF SE MAIN ST, PORTLAND, OR [Portland Fire #RP18000095966] 17:39 #pdx911",39.75369195560384,-121.6569419378167
18,"MED - MEDICAL at 6500 BLOCK OF N WILLAMETTE BLVD, PORTLAND, OR [Portland Fire #RP18000096620] 22:55 #pdx911",39.9283596794692,-121.65662825994205
19,"MED - MEDICAL at 16100 BLOCK OF SE ALDER ST, PORTLAND, OR [Portland Fire #RP18000094715] 06:17 #pdx911",39.57123349154384,-121.65297143622921
20,Gilroy CA Sun Nov 11th PM Forecast: TONIGHT Smoke Lo 40 MONDAY Smoke Hi 71,39.59515001344028,-121.71940110083594
21,Ah .... ah .... ah .... ah ... ah......CHOO!!!!!!!!!!!!!!!! Having a fabulous Sunday. Thoughts going out to all the veterans today and to the folks affected by the fires in California and… https://www.instagram.com/p/BqEdBPbAaoj/?utm_source=ig_twitter_share&igshid=1e6j58g1ao02y …,39.80776255980821,-121.5855458131489
22,"MED - MEDICAL at 2200 BLOCK OF  LLOYD CENTER , PORTLAND, OR [Portland Fire #RP18000096501] 15:23 #pdx911",39.618537976881626,-121.4786154348362
23,"MED - MEDICAL at 2300 BLOCK OF NE 7TH AVE, PORTLAND, OR [Portland Fire #RP18000093782] 00:21 #pdx911",39.846022644570276,-121.64265531227238
24,"Happening right now at #TheGoodHop! We’ve got a killer tap list, and $1 from all draft pours will be donated to the @sierranevada Campfire Fund. You can also donate $5 via your bar tab,… https://www.instagram.com/p/BqdtCnAAntZ/?utm_source=ig_twitter_share&igshid=jza9oel45rhc …",39.7645382710073,-121.62253111469096
25,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 3100 BLOCK OF SW SAM JACKSON PARK RD, PORTLAND, OR [Portland Fire #RP18000092838] 14:12 #pdx911",39.75472827297696,-121.6347568533281
26,"MED - MEDICAL at 1400 BLOCK OF SE MORRISON ST, PORTLAND, OR [Portland Fire #RP18000095422] 18:59 #pdx911",39.842429253099105,-121.60417114307032
27,"Barely seeing the sun at sunset due to wildfire smoke from the Camp Fire that was burning way up in Butte County. It’s a sad scene indeed. Pic taken from around San Jose, CA while around… https://www.instagram.com/p/BqVNySPgVSh/?utm_source=ig_twitter_share&igshid=t9ljj2l936bm …",39.63090046849753,-121.62746560748488
28,Camp fire closure in #Paradise&SurroundingAreas on Hwy 70 Both NB/SB between CA 149 and CA 89 #traffic http://bit.ly/Y31VAF ,39.935941808626474,-121.69855946417816
29,"Our first fire!  We are winter ready! #renonevada #itswhereilive @ Reno, Nevada https://www.instagram.com/p/Bqa8GK7FvuM/?utm_source=ig_twitter_share&igshid=zu89l7og501q …",39.94069296905229,-121.70916311050509
30,"MED - MEDICAL at 1300 BLOCK OF SE STARK ST, PORTLAND, OR [Portland Fire #RP18000092598] 18:40 #pdx911",39.612330149075106,-121.55416795577732
31,"MED - MEDICAL at 9100 BLOCK OF SE VELMA CT, PORTLAND, OR [Portland Fire #RP18000092817] 13:08 #pdx911",39.655902248264496,-121.67867289699603
32,"#shoeshow @ Paradise, Nevada https://www.instagram.com/p/Bp8Wd8AgtiR/?utm_source=ig_twitter_share&igshid=1sglbrzk5rqx1 …",39.89659708287791,-121.58544623464172
33,"Took this a few days back. Highway 99 headed into Chico, California. #campfire #paradise #chico @ Chico, California https://www.instagram.com/p/BqX-n8jF0lQ/?utm_source=ig_twitter_share&igshid=1azexvrznge96 …",39.57411057891636,-121.56891219609032
34,Visalia CA Sun Nov 11th PM Forecast: TONIGHT Smoke Lo 40 MONDAY Smoke Hi 72,39.787503564083856,-121.49264943166231
35,"MED - MEDICAL at 400 BLOCK OF NW GLISAN ST, PORTLAND, OR [Portland Fire #RP18000092906] 19:18 #pdx911",39.74634044038269,-121.61907777859379
36,Vehicle on fire in #Bakersfield on CA-184 after Panama Ln #traffic http://bit.ly/16BZ5bf ,39.77372218773189,-121.64229751741655
37,"Fly sleeping on a plant in front of a customer's door. Or, passed out from the smoke. #WestOakland #UpsDriverLife #SpongeBob #voice #AtNight @ Oakland, California https://www.instagram.com/p/BqSnTknlPU9DzMfmNnWIXm1dRhToiUurvMHwuU0/?utm_source=ig_twitter_share&igshid=qqri5u16vyeg …",39.590019633597,-121.56922869047071
