,username,no_occurences
0,fire,4572
1,co,4570
2,log,4569
3,ems,4556
4,mult,4555
5,weather,438
6,ca,373
7,california,248
8,la,201
9,wildfire,196
10,bot,196
11,unofficial,196
12,traffic,193
13,total,191
14,ttwn,119
15,sacramento,115
16,the,110
17,fhdphotography,93
18,san,75
19,s,74
20,brian,65
21,michael,60
22,ttn,55
23,a,53
24,david,51
25,william,49
26,john,45
27,wa,44
28,or,44
29,e,43
30,d,39
31,chris,39
32,o,37
33,j,35
34,jason,34
35,justo,33
36,b,33
37,city,33
38,ryan,33
39,of,32
40,l,32
41,brew,31
42,hawg,31
43,bbq,31
44,sf,31
45,aaron,30
46,eric,30
47,dr,29
48,james,28
49,mike,28
50,sarah,27
51,k,27
52,bakersfield,27
53,santa,27
54,m,25
55,king,25
56,fox,24
57,at,24
58,davis,24
59,south,24
60,steve,23
61,scott,23
62,diego,23
63,is,23
64,sea,22
65,jennifer,22
66,long,22
67,park,22
68,francisco,22
69,mark,22
70,tracy,22
71,r,22
72,wilson,21
73,heather,21
74,laura,21
75,salinas,21
76,sw,20
77,news,20
78,dog,20
79,lopez,20
80,t,20
81,bay,20
82,jose,20
83,martin,19
84,matt,19
85,c,19
86,fremont,19
87,daniel,19
88,brown,19
89,humphrey,19
90,gps,19
91,ana,19
92,monterey,19
93,white,19
94,pittsburg,19
95,jon,18
96,portland,18
97,comfort,18
98,ashley,18
99,v,18
