,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
5,smokea smoke investigation outside structure n vancouver ave columbia slough multnomah county portland fire rp,0.15805918628654342,0.1647214206746105,0,"SMOKEA - SMOKE INVESTIGATION OUTSIDE A STRUCTURE at N VANCOUVER AVE / COLUMBIA SLOUGH AT, MULTNOMAH COUNTY, OR [Portland Fire #RP180000967",Mult Co Fire/EMS log
9,med medical se nd ave se morrison st morrison brg ramp portland portland fire rp pdx,0.1417774119689601,0.14496413978886682,0,"MED - MEDICAL at SE 2ND AVE / SE MORRISON ST & MORRISON BRG RAMP, PORTLAND, OR [Portland Fire #RP18000096769] 14:52 #pdx911",Mult Co Fire/EMS log
10,smokea smoke investigation outside structure se mcloughlin blvd ross island brg portland portland fire rp,0.14925375000407048,0.15581262196794718,0,"SMOKEA - SMOKE INVESTIGATION OUTSIDE A STRUCTURE at SE MCLOUGHLIN BLVD / ROSS ISLAND BRG, PORTLAND, OR [Portland Fire #RP18000096780] 15:23",Mult Co Fire/EMS log
11,buy two get one free decorate tree ghoulish delight topher adam paradise nevada,0.14230998523254274,0.1473129766260862,0,"Buy two get one free, decorate your tree with these ghoulish delights by Topher Adam of http://Imafoolishmortal.com  @ Paradise, Nevada https://www.instagram.com/p/Bqip2M8nHUJ/?utm_source=ig_twitter_share&igshid=xcl6tcy9w5gd …",imafoolishmortal
12,bay area thankful rain clean air fire brutal northern southern california please keep eye fundraiser coming soon sort,0.14201805138803372,0.14312559990824128,0,The Bay Area is so thankful for rain and clean air... the fires have been brutal on Northern AND Southern California - please keep an eye out for a fundraiser coming soon with all sorts… https://www.instagram.com/p/BqipYf6nvBO/?utm_source=ig_twitter_share&igshid=155zlhja6dbtz …,Justine Reiss PRmama
25,smokea smoke investigation outside structure n vancouver ave columbia slough multnomah county portland fire rp,0.15805918628654342,0.1647214206746105,0,"SMOKEA - SMOKE INVESTIGATION OUTSIDE A STRUCTURE at N VANCOUVER AVE / COLUMBIA SLOUGH AT, MULTNOMAH COUNTY, OR [Portland Fire #RP180000967",Mult Co Fire/EMS log
29,med medical se nd ave se morrison st morrison brg ramp portland portland fire rp pdx,0.1417774119689601,0.14496413978886682,0,"MED - MEDICAL at SE 2ND AVE / SE MORRISON ST & MORRISON BRG RAMP, PORTLAND, OR [Portland Fire #RP18000096769] 14:52 #pdx911",Mult Co Fire/EMS log
30,smokea smoke investigation outside structure se mcloughlin blvd ross island brg portland portland fire rp,0.14925375000407048,0.15581262196794718,0,"SMOKEA - SMOKE INVESTIGATION OUTSIDE A STRUCTURE at SE MCLOUGHLIN BLVD / ROSS ISLAND BRG, PORTLAND, OR [Portland Fire #RP18000096780] 15:23",Mult Co Fire/EMS log
31,buy two get one free decorate tree ghoulish delight topher adam paradise nevada,0.14230998523254274,0.1473129766260862,0,"Buy two get one free, decorate your tree with these ghoulish delights by Topher Adam of http://Imafoolishmortal.com  @ Paradise, Nevada https://www.instagram.com/p/Bqip2M8nHUJ/?utm_source=ig_twitter_share&igshid=xcl6tcy9w5gd …",imafoolishmortal
32,bay area thankful rain clean air fire brutal northern southern california please keep eye fundraiser coming soon sort,0.14201805138803372,0.14312559990824128,0,The Bay Area is so thankful for rain and clean air... the fires have been brutal on Northern AND Southern California - please keep an eye out for a fundraiser coming soon with all sorts… https://www.instagram.com/p/BqipYf6nvBO/?utm_source=ig_twitter_share&igshid=155zlhja6dbtz …,Justine Reiss PRmama
