,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username
0,med medical block ne th ave portland portland fire rp pdx,0.148700677129416,0.1374521647996507,1,"MED - MEDICAL at 700 BLOCK OF NE 78TH AVE, PORTLAND, OR [Portland Fire #RP18000096775] 15:03 #pdx911",Mult Co Fire/EMS log
1,med medical se nd ave se johnson creek blvd portland portland fire rp pdx,0.14999796821510747,0.13531703387291202,1,"MED - MEDICAL at SE 32ND AVE / SE JOHNSON CREEK BLVD, PORTLAND, OR [Portland Fire #RP18000096791] 15:48 #pdx911",Mult Co Fire/EMS log
2,valley fire valley fire state park,0.14453894480901894,0.1418607040216749,1,Valley of Fire @ Valley of Fire State Park https://www.instagram.com/p/BqisXQFgUcm/?utm_source=ig_twitter_share&igshid=l1bab5mn5jmd …,MichelleBot
3,med medical block ne rodney ave portland portland fire rp pdx,0.14507397163970553,0.1312401242898544,1,"MED - MEDICAL at 2000 BLOCK OF NE RODNEY AVE, PORTLAND, OR [Portland Fire #RP18000096784] 15:32 #pdx911",Mult Co Fire/EMS log
4,special shout llyk comin fire video downtown long beach,0.1447833856921384,0.133166060225057,1,Special shout out to @m0llyk4y for comin through with the fire video   @ Downtown Long Beach https://www.instagram.com/p/BqiroLnBHjY/?utm_source=ig_twitter_share&igshid=1bftkxvhtu83w …,Houdini
6,thanks iloveomfoods saturday nov om food free meal survivor camp fire serve vegan meal affected camp fire,0.15570410254667946,0.1478543501282441,1,"Thanks to @iloveomfoods
・・・
Saturday Nov 24 at OM FOODS - 200 free meals to all the survivors from the Camp Fire!! -
We will serve a vegan meal to all those affected by the Camp Fire.  -… https://www.instagram.com/p/BqirQKcnpgu/?utm_source=ig_twitter_share&igshid=pph6r1ksz59m …",Chico Vegan
7,med medical block ne tillamook st portland portland fire rp pdx,0.1483638250738756,0.14414186033262855,1,"MED - MEDICAL at 7100 BLOCK OF NE TILLAMOOK ST, PORTLAND, OR [Portland Fire #RP18000096762] 13:57 #pdx911",Mult Co Fire/EMS log
8,med medical block sw canyon rd portland portland fire rp pdx,0.14052755654093024,0.1264532644595647,1,"MED - MEDICAL at 4000 BLOCK OF SW CANYON RD, PORTLAND, OR [Portland Fire #RP18000096767] 14:43 #pdx911",Mult Co Fire/EMS log
13,almcom monitored commercial fire alarm block ne broadway portland portland fire rp pdx,0.1375214663800915,0.13502849873370756,1,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1200 BLOCK OF NE BROADWAY , PORTLAND, OR [Portland Fire #RP18000096773] 14:59 #pdx911",Mult Co Fire/EMS log
14,med medical sw rd ave sw yamhill st portland portland fire rp pdx,0.14481831796951722,0.1428648250353236,1,"MED - MEDICAL at SW 3RD AVE / SW YAMHILL ST, PORTLAND, OR [Portland Fire #RP18000096766] 14:39 #pdx911",Mult Co Fire/EMS log
15,ta p traffic accident pin block ne th ave portland portland fire rp pdx,0.14634636429649606,0.13213553236227776,1,"TA1P - TRAFFIC ACCIDENT - PIN IN at 800 BLOCK OF NE 47TH AVE, PORTLAND, OR [Portland Fire #RP18000096772] 14:59 #pdx911",Mult Co Fire/EMS log
16,camp fire closure oroville hwy nb sb pentz rd ca traffic,0.13799895541166207,0.1288189735678611,1,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic http://bit.ly/Y31VAF ,TTWN Sacramento
17,med medical block n commercial ave portland portland fire rp pdx,0.14466211237296378,0.13625650839242806,1,"MED - MEDICAL at 7000 BLOCK OF N COMMERCIAL AVE, PORTLAND, OR [Portland Fire #RP18000096759] 13:52 #pdx911",Mult Co Fire/EMS log
18,med medical block se hawthorne blvd portland portland fire rp pdx,0.14580606784520928,0.13410082201356957,1,"MED - MEDICAL at 3700 BLOCK OF SE HAWTHORNE BLVD, PORTLAND, OR [Portland Fire #RP18000096764] 14:15 #pdx911",Mult Co Fire/EMS log
19,underway vegasgoldenknights paying tribute cancer victim survivor puck drop always get lump throat take breath one lucky one,0.1493058398925993,0.14704810177448294,1,We’re underway! vegasgoldenknights paying tribute to #cancer victims and survivors before the puck drop. Always get a lump in my throat and take a breath. I’m one of the lucky ones!… https://www.instagram.com/p/BqinYjoHL91/?utm_source=ig_twitter_share&igshid=hzg71duogo1p …,Jon Castagnino
20,med medical block ne th ave portland portland fire rp pdx,0.148700677129416,0.1374521647996507,1,"MED - MEDICAL at 700 BLOCK OF NE 78TH AVE, PORTLAND, OR [Portland Fire #RP18000096775] 15:03 #pdx911",Mult Co Fire/EMS log
21,med medical se nd ave se johnson creek blvd portland portland fire rp pdx,0.14999796821510747,0.13531703387291202,1,"MED - MEDICAL at SE 32ND AVE / SE JOHNSON CREEK BLVD, PORTLAND, OR [Portland Fire #RP18000096791] 15:48 #pdx911",Mult Co Fire/EMS log
22,valley fire valley fire state park,0.14453894480901894,0.1418607040216749,1,Valley of Fire @ Valley of Fire State Park https://www.instagram.com/p/BqisXQFgUcm/?utm_source=ig_twitter_share&igshid=l1bab5mn5jmd …,MichelleBot
23,med medical block ne rodney ave portland portland fire rp pdx,0.14507397163970553,0.1312401242898544,1,"MED - MEDICAL at 2000 BLOCK OF NE RODNEY AVE, PORTLAND, OR [Portland Fire #RP18000096784] 15:32 #pdx911",Mult Co Fire/EMS log
24,special shout llyk comin fire video downtown long beach,0.1447833856921384,0.133166060225057,1,Special shout out to @m0llyk4y for comin through with the fire video   @ Downtown Long Beach https://www.instagram.com/p/BqiroLnBHjY/?utm_source=ig_twitter_share&igshid=1bftkxvhtu83w …,Houdini
26,thanks iloveomfoods saturday nov om food free meal survivor camp fire serve vegan meal affected camp fire,0.15570410254667946,0.1478543501282441,1,"Thanks to @iloveomfoods
・・・
Saturday Nov 24 at OM FOODS - 200 free meals to all the survivors from the Camp Fire!! -
We will serve a vegan meal to all those affected by the Camp Fire.  -… https://www.instagram.com/p/BqirQKcnpgu/?utm_source=ig_twitter_share&igshid=pph6r1ksz59m …",Chico Vegan
27,med medical block ne tillamook st portland portland fire rp pdx,0.1483638250738756,0.14414186033262855,1,"MED - MEDICAL at 7100 BLOCK OF NE TILLAMOOK ST, PORTLAND, OR [Portland Fire #RP18000096762] 13:57 #pdx911",Mult Co Fire/EMS log
28,med medical block sw canyon rd portland portland fire rp pdx,0.14052755654093024,0.1264532644595647,1,"MED - MEDICAL at 4000 BLOCK OF SW CANYON RD, PORTLAND, OR [Portland Fire #RP18000096767] 14:43 #pdx911",Mult Co Fire/EMS log
33,almcom monitored commercial fire alarm block ne broadway portland portland fire rp pdx,0.1375214663800915,0.13502849873370756,1,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1200 BLOCK OF NE BROADWAY , PORTLAND, OR [Portland Fire #RP18000096773] 14:59 #pdx911",Mult Co Fire/EMS log
34,med medical sw rd ave sw yamhill st portland portland fire rp pdx,0.14481831796951722,0.1428648250353236,1,"MED - MEDICAL at SW 3RD AVE / SW YAMHILL ST, PORTLAND, OR [Portland Fire #RP18000096766] 14:39 #pdx911",Mult Co Fire/EMS log
35,ta p traffic accident pin block ne th ave portland portland fire rp pdx,0.14634636429649606,0.13213553236227776,1,"TA1P - TRAFFIC ACCIDENT - PIN IN at 800 BLOCK OF NE 47TH AVE, PORTLAND, OR [Portland Fire #RP18000096772] 14:59 #pdx911",Mult Co Fire/EMS log
36,camp fire closure oroville hwy nb sb pentz rd ca traffic,0.13799895541166207,0.1288189735678611,1,Camp fire closure in #Oroville on Hwy 70 Both NB/SB between Pentz Rd and CA 89 #traffic http://bit.ly/Y31VAF ,TTWN Sacramento
37,med medical block n commercial ave portland portland fire rp pdx,0.14466211237296378,0.13625650839242806,1,"MED - MEDICAL at 7000 BLOCK OF N COMMERCIAL AVE, PORTLAND, OR [Portland Fire #RP18000096759] 13:52 #pdx911",Mult Co Fire/EMS log
38,med medical block se hawthorne blvd portland portland fire rp pdx,0.14580606784520928,0.13410082201356957,1,"MED - MEDICAL at 3700 BLOCK OF SE HAWTHORNE BLVD, PORTLAND, OR [Portland Fire #RP18000096764] 14:15 #pdx911",Mult Co Fire/EMS log
39,underway vegasgoldenknights paying tribute cancer victim survivor puck drop always get lump throat take breath one lucky one,0.1493058398925993,0.14704810177448294,1,We’re underway! vegasgoldenknights paying tribute to #cancer victims and survivors before the puck drop. Always get a lump in my throat and take a breath. I’m one of the lucky ones!… https://www.instagram.com/p/BqinYjoHL91/?utm_source=ig_twitter_share&igshid=hzg71duogo1p …,Jon Castagnino
40,med medical block sw th dr portland portland fire rp pdx,0.14331669999627283,0.1353510680143838,1,"MED - MEDICAL at 9800 BLOCK OF SW 35TH DR, PORTLAND, OR [Portland Fire #RP18000096763] 14:07 #pdx911",Mult Co Fire/EMS log
41,buy brown paper wrapped mystery book proceeds benefit california fire foundation save program shopdanvilleca bookstagram helpingothers rakestraw book,0.14340362404773307,0.13648280407855104,1,Buy a brown-paper wrapped “mystery” book for $5. All proceeds benefit California Fire Foundation’s SAVE program. #shopdanvilleca #bookstagram #helpingothers @ Rakestraw Books https://www.instagram.com/p/Bqim8AWnYXU/?utm_source=ig_twitter_share&igshid=pqwk8ekubmki …,Rakestraw Books
42,med medical block se powell blvd portland portland fire rp pdx,0.14568828761067334,0.1334844719900355,1,"MED - MEDICAL at 16000 BLOCK OF SE POWELL BLVD, PORTLAND, OR [Portland Fire #RP18000096761] 13:56 #pdx911",Mult Co Fire/EMS log
43,ta traffic accident st response fire em nb fwy exit ne sandy blvd portland portland fire rp,0.14365340598297202,0.13593721168086592,1,"TA1 - TRAFFIC ACCIDENT - 1ST RESPONSE (FIRE & EMS) at NB I205 FWY SO / EXIT 23A & NE SANDY BLVD, PORTLAND, OR [Portland Fire #RP18000096768]",Mult Co Fire/EMS log
45,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 7600 BLOCK OF SE 104TH AVE, PORTLAND, OR [Portland Fire #RP18000096755] 13:41 #pdx911",Mult Co Fire/EMS log
46,paradise broadway pier san diego,0.1285272000840403,0.12495656170760677,1,"my paradise  @ Broadway Pier, San Diego https://www.instagram.com/p/BqilxupliIh/?utm_source=ig_twitter_share&igshid=135dd9p5w9y5i …",FARRAH MARIE 💫
47,med medical block ne flanders st portland portland fire rp pdx,0.14662448794321248,0.13725570938610698,1,"MED - MEDICAL at 4300 BLOCK OF NE FLANDERS ST, PORTLAND, OR [Portland Fire #RP18000096758] 13:52 #pdx911",Mult Co Fire/EMS log
48,sky earth fire within pacific palisade,0.14031218067399134,0.13734577072289963,1,Sky above me...earth below me...fire within me  @ Pacific Palisades https://www.instagram.com/p/Bqilh8YDdFB/?utm_source=ig_twitter_share&igshid=7qu3g8b5ah05 …,Andreea_Tina
50,med medical block se clay st portland portland fire rp pdx,0.14208290372590432,0.1362040715942639,1,"MED - MEDICAL at 10600 BLOCK OF SE CLAY ST, PORTLAND, OR [Portland Fire #RP18000096752] 13:30 #pdx911",Mult Co Fire/EMS log
51,happy friyay everyone official tangeris premium flavor tobacco serve velvetroomhookahlounge come smoke chill great vipe mix day peach ice tea cane mint happy,0.14459396448435138,0.1402671959438404,1, :) HAPPY FRIYAY everyone's official TANGERIS Premium FlavorS Tobacco Serve @ #velvetroomhookahlounge come SMOKE & CHILL great VIPE mIx of the day (Peach ice tea +Cane mint :) HAppY… https://www.instagram.com/p/Bqik6IsDj3P/?utm_source=ig_twitter_share&igshid=1eydwyy3villk …,Velvet Room Hookah Lounge
54,med medical block sw harrison st portland portland fire rp pdx,0.14248795350381058,0.1384045438481288,1,"MED - MEDICAL at 1500 BLOCK OF SW HARRISON ST, PORTLAND, OR [Portland Fire #RP18000096757] 13:49 #pdx911",Mult Co Fire/EMS log
55,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 800 BLOCK OF SE 48TH AVE, PORTLAND, OR [Portland Fire #RP18000096754] 13:35 #pdx911",Mult Co Fire/EMS log
56,med medical nw th ave portland portland fire rp pdx,0.1482347967452236,0.13948435082065472,1,"MED - MEDICAL at 0 NW 8TH AVE, PORTLAND, OR [Portland Fire #RP18000096751] 13:19 #pdx911",Mult Co Fire/EMS log
57,today smoke fest spatchcock lb turkey lychee smoke wood brined soursop injected nectar aloha torrance california,0.14257514659984555,0.13849747923626157,1,"Today’s #smoke fest #spatchcock 19 lbs turkey and #lychee smoke wood brined and #Soursop #injected nectar #aloha @ Torrance, California https://www.instagram.com/p/BqihT77Fu69/?utm_source=ig_twitter_share&igshid=11aglkwrbbefz …",kupua
58,med medical block ne rd ave portland portland fire rp pdx,0.14634067143012464,0.13349590978620346,1,"MED - MEDICAL at 2300 BLOCK OF NE 53RD AVE, PORTLAND, OR [Portland Fire #RP18000096747] 12:56 #pdx911",Mult Co Fire/EMS log
59,anresc animal rescue block se th ave portland portland fire rp pdx,0.14713699967235938,0.14178639876298815,1,"ANRESC - ANIMAL RESCUE at 2300 BLOCK OF SE 137TH AVE, PORTLAND, OR [Portland Fire #RP18000096760] 13:56 #pdx911",Mult Co Fire/EMS log
60,fire related se th ave se division st portland portland police pp pdx,0.14937803055988633,0.14763262415556944,1,"FIRE RELATED at SE 174TH AVE / SE DIVISION ST, PORTLAND, OR [Portland Police #PP18000399588] 11:59 #pdx911",Portland Police log
62,med medical block ne weidler st portland portland fire rp pdx,0.14479618408252787,0.13914296330994588,1,"MED - MEDICAL at 11100 BLOCK OF NE WEIDLER ST, PORTLAND, OR [Portland Fire #RP18000096756] 13:46 #pdx911",Mult Co Fire/EMS log
63,med medical block se th ave portland portland fire rp pdx,0.14841589830592247,0.14002555460286728,1,"MED - MEDICAL at 4300 BLOCK OF SE 116TH AVE, PORTLAND, OR [Portland Fire #RP18000096745] 12:47 #pdx911",Mult Co Fire/EMS log
64,med medical se st ave portland portland fire rp pdx,0.1487887873365208,0.14684462004369458,1,"MED - MEDICAL at 0 SE 81ST AVE, PORTLAND, OR [Portland Fire #RP18000096748] 13:02 #pdx911",Mult Co Fire/EMS log
