,Unnamed: 0,username,text
0,0,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
1,1,mult co fire ems log,"['med', 'medic', 'at', 'se', 'nd', 'ave', 'se', 'johnson', 'creek', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
2,2,michellebot,"['valley', 'of', 'fire', 'valley', 'of', 'fire', 'state', 'park']"
3,3,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'rodney', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
4,4,houdini,"['special', 'shout', 'out', 'to', 'm', 'llyk', 'y', 'for', 'comin', 'through', 'with', 'the', 'fire', 'video', 'downtown', 'long', 'beach']"
5,5,mult co fire ems log,"['smokea', 'smoke', 'investig', 'outsid', 'a', 'structur', 'at', 'n', 'vancouv', 'ave', 'columbia', 'slough', 'at', 'multnomah', 'counti', 'or', 'portland', 'fire', 'rp']"
6,6,chico vegan,"['thank', 'to', 'iloveomfood', 'saturday', 'nov', 'at', 'om', 'food', 'free', 'meal', 'to', 'all', 'the', 'survivor', 'from', 'the', 'camp', 'fire', 'we', 'will', 'serv', 'a', 'vegan', 'meal', 'to', 'all', 'those', 'affect', 'by', 'the', 'camp', 'fire']"
7,7,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'tillamook', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
8,8,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'sw', 'canyon', 'rd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
9,9,mult co fire ems log,"['med', 'medic', 'at', 'se', 'nd', 'ave', 'se', 'morrison', 'st', 'morrison', 'brg', 'ramp', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
10,10,mult co fire ems log,"['smokea', 'smoke', 'investig', 'outsid', 'a', 'structur', 'at', 'se', 'mcloughlin', 'blvd', 'ross', 'island', 'brg', 'portland', 'or', 'portland', 'fire', 'rp']"
11,11,imafoolishmortal,"['buy', 'two', 'get', 'one', 'free', 'decor', 'your', 'tree', 'with', 'these', 'ghoulish', 'delight', 'by', 'topher', 'adam', 'of', 'paradis', 'nevada']"
12,12,justine reiss prmama,"['the', 'bay', 'area', 'is', 'so', 'thank', 'for', 'rain', 'and', 'clean', 'air', 'the', 'fire', 'have', 'been', 'brutal', 'on', 'northern', 'and', 'southern', 'california', 'pleas', 'keep', 'an', 'eye', 'out', 'for', 'a', 'fundrais', 'come', 'soon', 'with', 'all', 'sort']"
13,13,mult co fire ems log,"['almcom', 'monitor', 'commerci', 'fire', 'alarm', 'at', 'block', 'of', 'ne', 'broadway', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
14,14,mult co fire ems log,"['med', 'medic', 'at', 'sw', 'rd', 'ave', 'sw', 'yamhil', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
15,15,mult co fire ems log,"['ta', 'p', 'traffic', 'accid', 'pin', 'in', 'at', 'block', 'of', 'ne', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
16,16,ttwn sacramento,"['camp', 'fire', 'closur', 'in', 'orovil', 'on', 'hwi', 'both', 'nb', 'sb', 'between', 'pentz', 'rd', 'and', 'ca', 'traffic']"
17,17,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'n', 'commerci', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
18,18,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'hawthorn', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
19,19,jon castagnino,"['we', 're', 'underway', 'vegasgoldenknight', 'pay', 'tribut', 'to', 'cancer', 'victim', 'and', 'survivor', 'befor', 'the', 'puck', 'drop', 'alway', 'get', 'a', 'lump', 'in', 'my', 'throat', 'and', 'take', 'a', 'breath', 'i', 'm', 'one', 'of', 'the', 'lucki', 'one']"
20,20,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
21,21,mult co fire ems log,"['med', 'medic', 'at', 'se', 'nd', 'ave', 'se', 'johnson', 'creek', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
22,22,michellebot,"['valley', 'of', 'fire', 'valley', 'of', 'fire', 'state', 'park']"
23,23,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'rodney', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
24,24,houdini,"['special', 'shout', 'out', 'to', 'm', 'llyk', 'y', 'for', 'comin', 'through', 'with', 'the', 'fire', 'video', 'downtown', 'long', 'beach']"
25,25,mult co fire ems log,"['smokea', 'smoke', 'investig', 'outsid', 'a', 'structur', 'at', 'n', 'vancouv', 'ave', 'columbia', 'slough', 'at', 'multnomah', 'counti', 'or', 'portland', 'fire', 'rp']"
26,26,chico vegan,"['thank', 'to', 'iloveomfood', 'saturday', 'nov', 'at', 'om', 'food', 'free', 'meal', 'to', 'all', 'the', 'survivor', 'from', 'the', 'camp', 'fire', 'we', 'will', 'serv', 'a', 'vegan', 'meal', 'to', 'all', 'those', 'affect', 'by', 'the', 'camp', 'fire']"
27,27,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'tillamook', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
28,28,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'sw', 'canyon', 'rd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
29,29,mult co fire ems log,"['med', 'medic', 'at', 'se', 'nd', 'ave', 'se', 'morrison', 'st', 'morrison', 'brg', 'ramp', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
30,30,mult co fire ems log,"['smokea', 'smoke', 'investig', 'outsid', 'a', 'structur', 'at', 'se', 'mcloughlin', 'blvd', 'ross', 'island', 'brg', 'portland', 'or', 'portland', 'fire', 'rp']"
31,31,imafoolishmortal,"['buy', 'two', 'get', 'one', 'free', 'decor', 'your', 'tree', 'with', 'these', 'ghoulish', 'delight', 'by', 'topher', 'adam', 'of', 'paradis', 'nevada']"
32,32,justine reiss prmama,"['the', 'bay', 'area', 'is', 'so', 'thank', 'for', 'rain', 'and', 'clean', 'air', 'the', 'fire', 'have', 'been', 'brutal', 'on', 'northern', 'and', 'southern', 'california', 'pleas', 'keep', 'an', 'eye', 'out', 'for', 'a', 'fundrais', 'come', 'soon', 'with', 'all', 'sort']"
33,33,mult co fire ems log,"['almcom', 'monitor', 'commerci', 'fire', 'alarm', 'at', 'block', 'of', 'ne', 'broadway', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
34,34,mult co fire ems log,"['med', 'medic', 'at', 'sw', 'rd', 'ave', 'sw', 'yamhil', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
35,35,mult co fire ems log,"['ta', 'p', 'traffic', 'accid', 'pin', 'in', 'at', 'block', 'of', 'ne', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
36,36,ttwn sacramento,"['camp', 'fire', 'closur', 'in', 'orovil', 'on', 'hwi', 'both', 'nb', 'sb', 'between', 'pentz', 'rd', 'and', 'ca', 'traffic']"
37,37,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'n', 'commerci', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
38,38,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'hawthorn', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
39,39,jon castagnino,"['we', 're', 'underway', 'vegasgoldenknight', 'pay', 'tribut', 'to', 'cancer', 'victim', 'and', 'survivor', 'befor', 'the', 'puck', 'drop', 'alway', 'get', 'a', 'lump', 'in', 'my', 'throat', 'and', 'take', 'a', 'breath', 'i', 'm', 'one', 'of', 'the', 'lucki', 'one']"
40,40,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'sw', 'th', 'dr', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
41,41,rakestraw books,"['buy', 'a', 'brown', 'paper', 'wrap', 'mysteri', 'book', 'for', 'all', 'proce', 'benefit', 'california', 'fire', 'foundat', 's', 'save', 'program', 'shopdanvilleca', 'bookstagram', 'helpingoth', 'rakestraw', 'book']"
42,42,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'powel', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
43,43,mult co fire ems log,"['ta', 'traffic', 'accid', 'st', 'respons', 'fire', 'em', 'at', 'nb', 'i', 'fwi', 'so', 'exit', 'a', 'ne', 'sandi', 'blvd', 'portland', 'or', 'portland', 'fire', 'rp']"
44,44,lo,"['i', 'want', 'all', 'the', 'smoke', 'linkinbio', 'zeroaliasmus', 'thecoldestwinterpartii', 'comingsoon', 'whodat', 'jcole', 'dreamvil', 'tde', 'bayarea', 'redwoodc', 'northhollywood', 'la']"
45,45,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'se', 'th', 'ave', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
46,46,farrah marie  ,"['my', 'paradis', 'broadway', 'pier', 'san', 'diego']"
47,47,mult co fire ems log,"['med', 'medic', 'at', 'block', 'of', 'ne', 'flander', 'st', 'portland', 'or', 'portland', 'fire', 'rp', 'pdx']"
