,cleaned_message,urgent_cos_sim,non_urgent_cos_sim,urgent,text,username,coordinates,lat,long,geometry
0,med medical block ne th ave portland portland fire rp pdx,0.14870067712941598,0.1374521647996507,1,"MED - MEDICAL at 700 BLOCK OF NE 78TH AVE, PORTLAND, OR [Portland Fire #RP18000096775] 15:03 #pdx911",Mult Co Fire/EMS log,"(39.62438891197958, -121.76761859120393)",39.62438891197958,-121.76761859120393,POINT (-121.7676185912039 39.62438891197958)
1,med medical se nd ave se johnson creek blvd portland portland fire rp pdx,0.14999796821510747,0.13531703387291202,1,"MED - MEDICAL at SE 32ND AVE / SE JOHNSON CREEK BLVD, PORTLAND, OR [Portland Fire #RP18000096791] 15:48 #pdx911",Mult Co Fire/EMS log,"(39.757332371260134, -121.6188134634258)",39.757332371260134,-121.6188134634258,POINT (-121.6188134634258 39.75733237126013)
2,valley fire valley fire state park,0.14453894480901894,0.1418607040216749,1,Valley of Fire @ Valley of Fire State Park https://www.instagram.com/p/BqisXQFgUcm/?utm_source=ig_twitter_share&igshid=l1bab5mn5jmd …,MichelleBot,"(39.818885240150564, -121.66413093279144)",39.818885240150564,-121.66413093279144,POINT (-121.6641309327914 39.81888524015056)
3,med medical block ne rodney ave portland portland fire rp pdx,0.14507397163970553,0.1312401242898544,1,"MED - MEDICAL at 2000 BLOCK OF NE RODNEY AVE, PORTLAND, OR [Portland Fire #RP18000096784] 15:32 #pdx911",Mult Co Fire/EMS log,"(39.69547544590889, -121.60151890300534)",39.69547544590889,-121.60151890300534,POINT (-121.6015189030053 39.69547544590889)
4,special shout llyk comin fire video downtown long beach,0.1447833856921384,0.13316606022505698,1,Special shout out to @m0llyk4y for comin through with the fire video   @ Downtown Long Beach https://www.instagram.com/p/BqiroLnBHjY/?utm_source=ig_twitter_share&igshid=1bftkxvhtu83w …,Houdini,"(39.78546141323192, -121.81032331259583)",39.78546141323192,-121.81032331259583,POINT (-121.8103233125958 39.78546141323192)
5,thanks iloveomfoods saturday nov om food free meal survivor camp fire serve vegan meal affected camp fire,0.15570410254667946,0.1478543501282441,1,"Thanks to @iloveomfoods
・・・
Saturday Nov 24 at OM FOODS - 200 free meals to all the survivors from the Camp Fire!! -
We will serve a vegan meal to all those affected by the Camp Fire.  -… https://www.instagram.com/p/BqirQKcnpgu/?utm_source=ig_twitter_share&igshid=pph6r1ksz59m …",Chico Vegan,"(39.77406565328009, -121.59526843435476)",39.77406565328009,-121.59526843435476,POINT (-121.5952684343548 39.77406565328009)
6,med medical block ne tillamook st portland portland fire rp pdx,0.1483638250738756,0.14414186033262855,1,"MED - MEDICAL at 7100 BLOCK OF NE TILLAMOOK ST, PORTLAND, OR [Portland Fire #RP18000096762] 13:57 #pdx911",Mult Co Fire/EMS log,"(39.7758815662685, -121.6777963370895)",39.7758815662685,-121.6777963370895,POINT (-121.6777963370895 39.7758815662685)
7,med medical block sw canyon rd portland portland fire rp pdx,0.14052755654093024,0.1264532644595647,1,"MED - MEDICAL at 4000 BLOCK OF SW CANYON RD, PORTLAND, OR [Portland Fire #RP18000096767] 14:43 #pdx911",Mult Co Fire/EMS log,"(39.74394393295116, -121.6415208046432)",39.74394393295116,-121.6415208046432,POINT (-121.6415208046432 39.74394393295116)
8,almcom monitored commercial fire alarm block ne broadway portland portland fire rp pdx,0.1375214663800915,0.13502849873370756,1,"ALMCOM - MONITORED COMMERCIAL FIRE ALARM at 1200 BLOCK OF NE BROADWAY , PORTLAND, OR [Portland Fire #RP18000096773] 14:59 #pdx911",Mult Co Fire/EMS log,"(39.97003160971687, -121.67742355687122)",39.97003160971687,-121.67742355687122,POINT (-121.6774235568712 39.97003160971687)
9,med medical sw rd ave sw yamhill st portland portland fire rp pdx,0.14481831796951722,0.1428648250353236,1,"MED - MEDICAL at SW 3RD AVE / SW YAMHILL ST, PORTLAND, OR [Portland Fire #RP18000096766] 14:39 #pdx911",Mult Co Fire/EMS log,"(39.67017672019945, -121.67500667358178)",39.67017672019945,-121.67500667358178,POINT (-121.6750066735818 39.67017672019945)
